ID_Z4	Plot_Z4	PHASE_Z4	Block_Z4	Scheme_Z4	SCH_ABV_Z4	KEY_Z4	Road_Z4	GD_ST_Z4	Plot_Area_Z4	DC_Z4	Total_Z4	2024_PAID_Z4	2025_PAID_Z4	Pending_Z4	PT_STATUS_Z4	AD_Z4	REMARKS_Z4	Category_Z4	EXTRA_Z4
1	2	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	2-C1-A1	12	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
2	3	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	3-C1-A1	1	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
3	5	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	5-C1-A1	10	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
4	6	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	6-C1-A1	10	Illegal	10 Marla	3158375	0	0	0	0	RESIDENTIAL/USE RESTORED	SHAFIQ UR REHMAN		ILLEGAL	
5	7	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	7-C1-A1	10	Illegal	7 Marla	3158375	0	0	0	0	RESIDENTIAL/USE RESTORED	SHAFIQ UR REHMAN		ILLEGAL	
6	17	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	17-C1-A1	10	Illegal	1 Kanal	3158375	0	0	0	0	VACANT	SHAFIQ UR REHMAN		ILLEGAL	
7	24	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	24-C1-A1	1	Illegal	7 Marla	3158375	520046	0	0	520046	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
8	25	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	25-C1-A1	11	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
9	31	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	31-C1-A1	10	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
10	38	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	38-C1-A1	10	Illegal	10 Marla	3158375	742922	0	0	742922	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
11	39	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	39-C1-A1	10	Illegal	5 Marla	3158375	297169	0	0	297169	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
12	113	A1 HOMES SOCIETY	C1	A1 HOMES SOCIETY	A1	113-C1-A1	21	Illegal	1 Kanal	3158375	1467175	0	0	0	NOT PAID/ NOTICE ISSUED	SHAFIQ UR REHMAN		ILLEGAL	
13	20	A1 HOMES SOCIETY	C2	A1 HOMES SOCIETY	A1	20-C2-A1	1	Illegal	1 Kanal	3158375	0	0	0	0	VACANT	SHAFIQ UR REHMAN		ILLEGAL	
14	204	AIR LINE SOCIETY	A	AIR LINE SOCIETY	AL	204-A-AL	Air line Boulevard	Illegal	1 Kanal	3135125	1263781	0	0	1263781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
15	207	AIR LINE SOCIETY	A	AIR LINE SOCIETY	AL	207-A-AL	Air line Boulevard	Illegal	1 Kanal	3135125	1263781	0	0	1263781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
16	5	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	5--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
17	6	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	6--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
18	37	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	37--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
19	38	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	38--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
20	58	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	58--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
21	60	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	60--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
22	62	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	62--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
23	108	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	108--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
24	232	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	232--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
25	234	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	234--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1437025	0	0	1437025	WITHDRAWAL REQUEST	MUHAMMAD IJAZ		ILLEGAL	
26	241	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	241--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
27	242	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	242--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
28	247	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	247--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
29	249	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	249--AL	2nd Avenue	Illegal	1 Kanal	3135125	1593781	0	200000	1593781	PARTIAL PAYMENT	MUHAMMAD IJAZ		ILLEGAL	
30	325	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	325--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
31	367	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	367--AL	2nd Avenue	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
32	377	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	377--AL	2nd Avenue	Illegal	1 Kanal	3135125	1121281	0	0	1121281	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
33	380	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	380--AL	2nd Avenue	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
34	424	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	424--AL	Street	Constructed Residential	1 Kanal	3135125	1593781	0	0	1593781	WITHDRAWAL REQUEST	MUHAMMAD IJAZ		ILLEGAL	
35	425	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	425--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
36	474	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	474--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
37	475	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	475--AL	Air line Boulevard	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
38	476	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	476--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	WITHDRAWAL REQUEST	MUHAMMAD IJAZ		ILLEGAL	
39	478	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	478--AL	Air line Boulevard	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
40	487	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	487--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
41	491	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	491--AL	Street 1	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
42	495	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	495--AL	A Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
43	502	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	502--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
44	573	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	573--AL	Street	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
45	585	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	585--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
46	586	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	586--AL	Street	Illegal	1 Kanal	3135125	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
47	589	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	589--AL	Street	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
48	592	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	592--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
49	593	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	593--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
50	603	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	603--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
51	620	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	620--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
52	646	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	646--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
53	241A	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	241A--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
54	242A	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	242A--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1121281	0	0	1121281	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
55	27A	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	27A--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
56	477A	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	477A--AL	Air line Boulevard	Illegal	1 Kanal	3135125	1593781	0	0	1593781	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
57	627A	AIR LINE SOCIETY		AIR LINE SOCIETY	AL	627A--AL	Other	Perm Commercial	Abnormal	0	0	0	0	0	PERM COMMERCIAL	MUHAMMAD IJAZ		PERM. COMM	
58	2	ALHAMRA TOWN		ALHAMRA TOWN	AHT	2--AHT	10	Illegal	1 Kanal	1934750	913688	50000	0	913688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
59	3	ALHAMRA TOWN		ALHAMRA TOWN	AHT	3--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
60	4	ALHAMRA TOWN		ALHAMRA TOWN	AHT	4--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
61	5	ALHAMRA TOWN		ALHAMRA TOWN	AHT	5--AHT	14	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
62	6	ALHAMRA TOWN		ALHAMRA TOWN	AHT	6--AHT	12	Illegal	1 Kanal	1934750	480000	0	0	480000	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
63	7	ALHAMRA TOWN		ALHAMRA TOWN	AHT	7--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
64	8	ALHAMRA TOWN		ALHAMRA TOWN	AHT	8--AHT	1	Illegal	1 Kanal	1934750	0	0	0	0	OTHER	MUHAMMAD IJAZ	MOSQUE	ILLEGAL	
65	9	ALHAMRA TOWN		ALHAMRA TOWN	AHT	9--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
66	10	ALHAMRA TOWN		ALHAMRA TOWN	AHT	10--AHT	11	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
67	11	ALHAMRA TOWN		ALHAMRA TOWN	AHT	11--AHT	10	Illegal	1 Kanal	1934750	480000	0	0	480000	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
68	12	ALHAMRA TOWN		ALHAMRA TOWN	AHT	12--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
69	13	ALHAMRA TOWN		ALHAMRA TOWN	AHT	13--AHT	10	Illegal	1 Kanal	1934750	0	0	0	0	OTHER	MUHAMMAD IJAZ		ILLEGAL	
70	14	ALHAMRA TOWN		ALHAMRA TOWN	AHT	14--AHT	12	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
71	15	ALHAMRA TOWN		ALHAMRA TOWN	AHT	15--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
72	16	ALHAMRA TOWN		ALHAMRA TOWN	AHT	16--AHT	14	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
73	17	ALHAMRA TOWN		ALHAMRA TOWN	AHT	17--AHT	1	Illegal	1 Kanal	1934750	480000	0	0	480000	UNDER CONSTRUCTION	MUHAMMAD IJAZ		ILLEGAL	
74	18	ALHAMRA TOWN		ALHAMRA TOWN	AHT	18--AHT	15	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
75	19	ALHAMRA TOWN		ALHAMRA TOWN	AHT	19--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
76	20	ALHAMRA TOWN		ALHAMRA TOWN	AHT	20--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
77	21	ALHAMRA TOWN		ALHAMRA TOWN	AHT	21--AHT	23	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
78	22	ALHAMRA TOWN		ALHAMRA TOWN	AHT	22--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
79	23	ALHAMRA TOWN		ALHAMRA TOWN	AHT	23--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
80	24	ALHAMRA TOWN		ALHAMRA TOWN	AHT	24--AHT	1	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
81	25	ALHAMRA TOWN		ALHAMRA TOWN	AHT	25--AHT	35	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
82	26	ALHAMRA TOWN		ALHAMRA TOWN	AHT	26--AHT	1	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
83	27	ALHAMRA TOWN		ALHAMRA TOWN	AHT	27--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
84	28	ALHAMRA TOWN		ALHAMRA TOWN	AHT	28--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
85	30	ALHAMRA TOWN		ALHAMRA TOWN	AHT	30--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
86	31	ALHAMRA TOWN		ALHAMRA TOWN	AHT	31--AHT	1	Illegal	1 Kanal	1934750	480000	0	0	480000	VACANT	MUHAMMAD IJAZ		ILLEGAL	
87	32	ALHAMRA TOWN		ALHAMRA TOWN	AHT	32--AHT	26	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
88	33	ALHAMRA TOWN		ALHAMRA TOWN	AHT	33--AHT	12	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
89	34	ALHAMRA TOWN		ALHAMRA TOWN	AHT	34--AHT	1	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
90	35	ALHAMRA TOWN		ALHAMRA TOWN	AHT	35--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
91	37	ALHAMRA TOWN		ALHAMRA TOWN	AHT	37--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
92	38	ALHAMRA TOWN		ALHAMRA TOWN	AHT	38--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
93	39	ALHAMRA TOWN		ALHAMRA TOWN	AHT	39--AHT	1	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
94	40	ALHAMRA TOWN		ALHAMRA TOWN	AHT	40--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
95	42	ALHAMRA TOWN		ALHAMRA TOWN	AHT	42--AHT	10	Illegal	8.5 Marla	1934750	411318	0	0	411318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
96	44	ALHAMRA TOWN		ALHAMRA TOWN	AHT	44--AHT	1	Illegal	8.5 Marla	1934750	411318	0	0	411318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
97	45	ALHAMRA TOWN		ALHAMRA TOWN	AHT	45--AHT	10	Illegal	8.5 Marla	1934750	411318	0	0	411318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
98	60	ALHAMRA TOWN		ALHAMRA TOWN	AHT	60--AHT	10	Illegal	8.5 Marla	1934750	411318	0	0	411318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
99	84	ALHAMRA TOWN		ALHAMRA TOWN	AHT	84--AHT	1	Illegal	8.5 Marla	1934750	411318	0	0	411318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
100	85	ALHAMRA TOWN		ALHAMRA TOWN	AHT	85--AHT	15	Illegal	8.5 Marla	1934750	80000	0	0	0	OTHER	MUHAMMAD IJAZ		ILLEGAL	
101	93	ALHAMRA TOWN		ALHAMRA TOWN	AHT	93--AHT	11	Illegal	1.5 Kanal	1934750	80000	80000	0	0	OTHER	MUHAMMAD IJAZ		ILLEGAL	
102	102	ALHAMRA TOWN		ALHAMRA TOWN	AHT	102--AHT	11	Illegal	5 Marla	1934750	176738	0	0	176738	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
103	117	ALHAMRA TOWN		ALHAMRA TOWN	AHT	117--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
104	120	ALHAMRA TOWN		ALHAMRA TOWN	AHT	120--AHT	11	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
105	123	ALHAMRA TOWN		ALHAMRA TOWN	AHT	123--AHT	16	Constructed Commercial	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
106	143	ALHAMRA TOWN		ALHAMRA TOWN	AHT	143--AHT	1	Constructed Commercial	8.5 Marla	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
107	144	ALHAMRA TOWN		ALHAMRA TOWN	AHT	144--AHT	10	Illegal	8.5 Marla	1934750	249054	0	0	249054	WITHDRAWAL REQUEST	MUHAMMAD IJAZ	MADRASA	ILLEGAL	
108	147	ALHAMRA TOWN		ALHAMRA TOWN	AHT	147--AHT	10	Illegal	8.5 Marla	1934750	291318	0	0	291318	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
109	148	ALHAMRA TOWN		ALHAMRA TOWN	AHT	148--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
110	149	ALHAMRA TOWN		ALHAMRA TOWN	AHT	149--AHT	1	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
111	155	ALHAMRA TOWN		ALHAMRA TOWN	AHT	155--AHT	10	Illegal	8 Marla	1934750	393475	0	0	393475	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
112	157	ALHAMRA TOWN		ALHAMRA TOWN	AHT	157--AHT	1	Illegal	8 Marla	1934750	393475	0	0	393475	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
113	158	ALHAMRA TOWN		ALHAMRA TOWN	AHT	158--AHT	10	Illegal	8 Marla	1934750	393475	0	0	393475	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
114	178	ALHAMRA TOWN		ALHAMRA TOWN	AHT	178--AHT	12	Illegal	1 Kanal	1934750	843688	120000	0	843688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
115	188	ALHAMRA TOWN		ALHAMRA TOWN	AHT	188--AHT	14	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
116	190	ALHAMRA TOWN		ALHAMRA TOWN	AHT	190--AHT	10	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
117	194	ALHAMRA TOWN		ALHAMRA TOWN	AHT	194--AHT	10	Illegal	1 Kanal	1934750	0	0	0	0	ABANDONED	MUHAMMAD IJAZ		ILLEGAL	
118	195	ALHAMRA TOWN		ALHAMRA TOWN	AHT	195--AHT	10	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
119	198	ALHAMRA TOWN		ALHAMRA TOWN	AHT	198--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
120	201	ALHAMRA TOWN		ALHAMRA TOWN	AHT	201--AHT	16	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
121	219	ALHAMRA TOWN		ALHAMRA TOWN	AHT	219--AHT	11	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
122	220	ALHAMRA TOWN		ALHAMRA TOWN	AHT	220--AHT	14	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
123	222	ALHAMRA TOWN		ALHAMRA TOWN	AHT	222--AHT	10	Illegal	1 Kanal	1934750	386950	1120000	386950	0	FULL PAYMENT	MUHAMMAD IJAZ		ILLEGAL	
124	238	ALHAMRA TOWN		ALHAMRA TOWN	AHT	238--AHT	11	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
125	249	ALHAMRA TOWN		ALHAMRA TOWN	AHT	249--AHT	1	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
126	252	ALHAMRA TOWN		ALHAMRA TOWN	AHT	252--AHT	1	Illegal	1 Kanal	1934750	0	0	0	0	RESIDENTIAL/USE RESTORED	MUHAMMAD IJAZ		ILLEGAL	
127	257	ALHAMRA TOWN		ALHAMRA TOWN	AHT	257--AHT	12	Illegal	1 Kanal	1934750	483688	480000	483688	0	FULL PAYMENT	MUHAMMAD IJAZ		ILLEGAL	
128	258	ALHAMRA TOWN		ALHAMRA TOWN	AHT	258--AHT	10	Illegal	1 Kanal	1934750	963688	0	0	963688	NOT PAID/ NOTICE ISSUED	MUHAMMAD IJAZ		ILLEGAL	
